! For mls data, pressure and obs errors are pulled from bufr, so not listed here
! sens/instr/sat lev  use pressure gross   obs    b_oz  pg_oz
!                                  error  error variational qc
 mls_aura         1   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura         2   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura         3   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura         4   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura         5   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura         6   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura         7   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura         8   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura         9   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        10   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        11   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        12   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        13   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        14   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        15   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        16   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        17   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        18   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        19   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        20   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        21   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        22   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        23   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        24   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        25   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        26   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        27   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        28   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        29   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        30   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        31   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        32   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        33   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        34   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        35   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        36   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        37   -1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura       1   -1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura       2   -1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura       3   -1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura       4   -1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura       5   -1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura       6   -1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura       7   -1  999.999  9.999  9.999 10.000  0.000
